date,event,split,bin_count,raw_mass,max_candle_age,mean_spread,mos_forecast,market,candidate,raw,uniform,gain
2025-12-13,KXHIGHMIA-25DEC13,validation,6,1.075,60,0.018333333333333333,81.0,0.16079322156120426,0.16797274738101634,0.16475416666666667,0.13888888888888892,-0.0071795258198120715
2025-12-14,KXHIGHMIA-25DEC14,validation,6,1.02,60,0.019999999999999993,81.0,0.0954360502370883,0.07792958934110093,0.09495833333333331,0.13888888888888892,0.01750646089598737
2025-12-15,KXHIGHMIA-25DEC15,validation,6,1.005,60,0.011666666666666667,76.0,0.09626824418537498,0.14243552808531132,0.09617083333333333,0.13888888888888892,-0.04616728389993634
2025-12-16,KXHIGHMIA-25DEC16,validation,6,1.02,60,0.016666666666666666,76.0,0.06519928232731002,0.06507503956321035,0.06423333333333335,0.13888888888888892,0.00012424276409966906
2025-12-17,KXHIGHMIA-25DEC17,validation,6,1.05,60,0.010000000000000002,79.0,0.06934996220710506,0.06818264040664689,0.06729166666666667,0.13888888888888892,0.001167321800458171
2025-12-18,KXHIGHMIA-25DEC18,validation,6,1.02,120,0.020000000000000004,83.0,0.06833109060617713,0.08879259228258274,0.06745833333333333,0.13888888888888892,-0.020461501676405605
2025-12-19,KXHIGHMIA-25DEC19,validation,6,1.045,60,0.018333333333333337,85.0,0.05957586441091856,0.06300516474649115,0.057295833333333344,0.13888888888888892,-0.003429300335572587
2025-12-20,KXHIGHMIA-25DEC20,validation,6,1.005,60,0.028333333333333332,82.0,0.11275298466209582,0.1151940824128523,0.11274583333333336,0.13888888888888892,-0.002441097750756474
2025-12-21,KXHIGHMIA-25DEC21,validation,6,1.075,60,0.015000000000000005,82.0,0.06409230214530379,0.06550891364885407,0.06062916666666667,0.13888888888888892,-0.001416611503550283
2025-12-22,KXHIGHMIA-25DEC22,validation,6,1.03,60,0.023333333333333327,82.0,0.06801614980990982,0.11164538958662674,0.06665833333333333,0.13888888888888892,-0.04362923977671693
2025-12-23,KXHIGHMIA-25DEC23,validation,6,1.005,60,0.02166666666666667,81.0,0.06044404841464321,0.08312388848665084,0.06019583333333333,0.13888888888888892,-0.02267984007200763
2025-12-24,KXHIGHMIA-25DEC24,validation,6,1.005,60,0.015000000000000001,81.0,0.13719132364710443,0.16624083023404349,0.13732083333333334,0.13888888888888892,-0.029049506586939056
2025-12-25,KXHIGHMIA-25DEC25,validation,6,1.06,60,0.010000000000000004,81.0,0.1161371187848582,0.0837627677962351,0.11699166666666667,0.13888888888888892,0.03237435098862311
2025-12-26,KXHIGHMIA-25DEC26,validation,6,0.99,60,0.02666666666666666,81.0,0.06711900146243581,0.08695367651426213,0.06758333333333334,0.13888888888888892,-0.019834675051826317
2025-12-27,KXHIGHMIA-25DEC27,validation,6,1.02,1140,0.026666666666666655,81.0,0.06676118159682176,0.08854277468104275,0.06585833333333334,0.13888888888888892,-0.021781593084220993
2025-12-28,KXHIGHMIA-25DEC28,validation,6,1.0150000000000001,480,0.04166666666666668,80.0,0.10022891439572264,0.1087816220269547,0.10004583333333333,0.13888888888888892,-0.00855270763123206
2025-12-29,KXHIGHMIA-25DEC29,validation,6,1.07,180,0.02666666666666666,82.0,0.0724153492299182,0.09363401564901742,0.06995833333333333,0.13888888888888892,-0.021218666419099225
2025-12-30,KXHIGHMIA-25DEC30,validation,6,0.985,180,0.018333333333333337,73.0,0.21099916685992082,0.21530737439163353,0.20955416666666668,0.1388888888888889,-0.00430820753171271
2025-12-31,KXHIGHMIA-25DEC31,validation,6,1.0150000000000001,60,0.02500000000000001,66.0,0.1597871015231301,0.16743060464699788,0.16045416666666668,0.13888888888888892,-0.007643503123867773
2026-01-01,KXHIGHMIA-26JAN01,test_a,6,1.045,60,0.028333333333333335,67.0,0.13451309875384415,0.09757763608487953,0.13537916666666666,0.13888888888888892,0.03693546266896462
2026-01-02,KXHIGHMIA-26JAN02,test_a,6,1.0050000000000001,180,0.06166666666666668,71.0,0.12871793602468587,0.09465443592088446,0.1287708333333333,0.13888888888888892,0.03406350010380141
